Słowo sus | Nieudane próby: 4
Słowo freaky | Nieudane próby: 6
Słowo obciach | Nieudane próby: 3
Słowo klasa | Nieudane próby: 0
Słowo braun | Nieudane próby: 1
Słowo rizz | Nieudane próby: 0
Słowo sahur | Nieudane próby: 2
Słowo goat | Nieudane próby: 5
Słowo jeszczejak | Nieudane próby: 4
Słowo sussy | Nieudane próby: 6
Słowo ohayo | Nieudane próby: 5
Słowo mao | Nieudane próby: 3
Słowo job | Nieudane próby: 2
Słowo kremówka | Nieudane próby: 5
Słowo joe | Nieudane próby: 1
Słowo italian | Nieudane próby: 4
Słowo pastafarian | Nieudane próby: 5
Słowo l | Nieudane próby: 2
Słowo gyatt | Nieudane próby: 8
Słowo bambik | Nieudane próby: 3
Słowo job | Nieudane próby: 1
Słowo l | Nieudane próby: 0
Słowo lirililarila | Nieudane próby: 0
Słowo lrizz | Nieudane próby: 4
Słowo balerina | Nieudane próby: 2
Słowo bombombini | Nieudane próby: 2
Słowo womp | Nieudane próby: 4
Słowo śpiulkolot | Nieudane próby: 1
Słowo freaky | Nieudane próby: 6
Słowo 69 | Nieudane próby: 0
Słowo 41 | Nieudane próby: 0
Słowo klasa | Nieudane próby: 2
Słowo chinczyczka | Nieudane próby: 7
Słowo obama | Nieudane próby: 0
Słowo sansundertale | Nieudane próby: 3
Słowo 2137 | Nieudane próby: 4
Słowo patapim | Nieudane próby: 2
Słowo sigma | Nieudane próby: 4
Słowo braun | Nieudane próby: 4
